SubjectID,AssignmentID,ProblemID,Label
04c32d4d95425f73b3a1d6502aed4d48,494.0,41,False
04c32d4d95425f73b3a1d6502aed4d48,494.0,43,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,44,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,46,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,49,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,67,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,104,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,106,False
04c32d4d95425f73b3a1d6502aed4d48,494.0,107,True
04c32d4d95425f73b3a1d6502aed4d48,494.0,108,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,45,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,48,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,51,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,56,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,57,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,64,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,70,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,71,True
04c32d4d95425f73b3a1d6502aed4d48,502.0,112,False
04c32d4d95425f73b3a1d6502aed4d48,502.0,118,False
0503bf609757acf2e75aa8cbc0d8323b,494.0,41,False
0503bf609757acf2e75aa8cbc0d8323b,494.0,43,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,44,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,46,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,49,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,67,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,104,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,106,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,107,True
0503bf609757acf2e75aa8cbc0d8323b,494.0,108,True
06d801cb636235b298c40029ad9921e7,494.0,41,False
06d801cb636235b298c40029ad9921e7,494.0,43,True
06d801cb636235b298c40029ad9921e7,494.0,44,False
06d801cb636235b298c40029ad9921e7,494.0,46,True
06d801cb636235b298c40029ad9921e7,494.0,49,True
06d801cb636235b298c40029ad9921e7,494.0,67,True
06d801cb636235b298c40029ad9921e7,494.0,104,True
06d801cb636235b298c40029ad9921e7,494.0,106,True
06d801cb636235b298c40029ad9921e7,494.0,107,True
06d801cb636235b298c40029ad9921e7,494.0,108,True
06d801cb636235b298c40029ad9921e7,502.0,45,True
06d801cb636235b298c40029ad9921e7,502.0,48,True
06d801cb636235b298c40029ad9921e7,502.0,51,True
06d801cb636235b298c40029ad9921e7,502.0,56,True
06d801cb636235b298c40029ad9921e7,502.0,57,True
06d801cb636235b298c40029ad9921e7,502.0,64,True
06d801cb636235b298c40029ad9921e7,502.0,70,True
06d801cb636235b298c40029ad9921e7,502.0,71,True
06d801cb636235b298c40029ad9921e7,502.0,112,True
06d801cb636235b298c40029ad9921e7,502.0,118,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,41,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,43,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,44,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,46,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,49,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,67,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,104,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,106,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,107,True
07ae4cca3f90a49347ccb5c1a82ff46f,494.0,108,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,45,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,48,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,51,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,56,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,57,False
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,64,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,70,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,71,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,112,True
07ae4cca3f90a49347ccb5c1a82ff46f,502.0,118,True
07d34e2419c61216a85a2156b2cf8ae4,494.0,41,False
07d34e2419c61216a85a2156b2cf8ae4,494.0,43,True
07d34e2419c61216a85a2156b2cf8ae4,494.0,44,False
07d34e2419c61216a85a2156b2cf8ae4,494.0,46,True
07d34e2419c61216a85a2156b2cf8ae4,494.0,49,False
07d34e2419c61216a85a2156b2cf8ae4,494.0,67,False
07d34e2419c61216a85a2156b2cf8ae4,494.0,104,True
07d34e2419c61216a85a2156b2cf8ae4,494.0,106,True
07d34e2419c61216a85a2156b2cf8ae4,494.0,107,True
07d34e2419c61216a85a2156b2cf8ae4,494.0,108,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,45,False
07d34e2419c61216a85a2156b2cf8ae4,502.0,48,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,51,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,56,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,57,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,64,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,70,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,71,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,112,True
07d34e2419c61216a85a2156b2cf8ae4,502.0,118,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,41,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,43,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,44,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,46,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,49,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,67,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,104,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,106,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,107,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,494.0,108,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,45,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,48,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,51,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,56,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,57,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,64,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,70,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,71,True
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,112,False
08fcb5ead4e963a6f0bbdbc971f4a3ee,502.0,118,True
0a7ff96e4fa7c92a13ccab013d580930,494.0,41,True
0a7ff96e4fa7c92a13ccab013d580930,494.0,43,True
0a7ff96e4fa7c92a13ccab013d580930,494.0,44,True
0a7ff96e4fa7c92a13ccab013d580930,494.0,46,True
