SubjectID,X-Grade
80b79645be384d8162597a76b28062cd35ea1019db9344ebd3f549d05246afa2,48.5
f2c0c481d6d6af0b83c418cd9a25d31dc1ffd303019b7cff7adf84e88f578dcf,87.15
c24802aafcbbb5d0d9f4ff58778800955e3c56280ac70345100d3a9a6ea2653f,44.0
b83f22b6c073f282fc8e9556f47e3cb0ecb74d950973838f47c4837826ff08e0,52.03
2b094c4248c216c84aca0e3dbdd79ba28f43b7e9912a7d2190688321f51e5a7a,80.65
a50b5be5f4ff7ea94290013a66e36e6dea9aed76a2d5c4bef41e28b4ad4503ed,48.56
f957373d2a222c4eb2d4a1ff4cb458e3bebf9e8e6e6d09515d4e23c376f39647,55.4
3e88c0584a41035de2c85904f13d7e5f03eab562308106eb2d9c7d8d1d5f65fb,19.0
9ecd8d14b33e6d7b4895b660bfc04f1b62dc5ff8d0361871658026089631b0f4,78.66
048fce7bd5670d2ce6215f41856aea059973fb280ce1067c7896d7e982dce89a,32.25
c680435725f2cafc681abd19b42f002d0f35298c929bbd106403609fc6261bee,53.44
f443bbd96f97f46715406d27b026e030447ad9e96d55300a62dcdb54bf95a4f3,86.44
b43a0433ebcd4615d10b350555c5aae6a34f0b8dd322cdf508fd58dd4ff0b5c5,64.75
bd967167b9a70cc58353beeb439070461fdb8560c896ff070e6900aa37187d74,28.5
b65b6d24572830c97c47256ad70692e4abc7c290ffa8cefe322be469accd8d5e,66.34
c553dc3283c858d600428ab9da98653a77b7cd25b18d42f7e342f50e3dd2811d,71.44
9fa16bb176ae097dc1ff36d812d98bec769aa6f3709545c752ce403e0d3acc40,53.31
16d4c5bf7eb5f6e804de07bd9f16ac0c6242adaecf20fa778a69734dd8e8aba8,52.31
a911b94c45c75c9742f985664b28a5e51c9562b9423efe24b3b1ea0da99ea920,44.25
f9a459fa3ddd5b14d229dc44184452d5ad5700ded46bca132647340ff5778ab1,47.25
2bd924c625258c3d7c9399287b1e634338d5a3d34d8b4c4793ba7b2d2568d386,28.81
2ddee81d097f550d3cb4a5197f616502bbf5cba763db4afca0c88f9c6f6c355d,44.5
d5b8de8db1cf22f45e0efd08dc7b38431edfdc53aca4038204460398cd6c21ee,65.72
ff02364c8aab08a51916bd6a58bf7337b5d60939ee9b5381cce52e3ccbcd6b6d,77.29
c7e19683c93c7fcbfab6f259ebe943a44204981dbf5af4dfc37ef26961758906,65.97
62fcdb6ab7d866469212eb68cea38fd06fa6c92dc597ad7711f73cb039111976,67.0
d86cb3d8304a2cede047c31ebe6619f33357872d26a21d1367318821e35e09cf,49.5
2dea2a547b0c8f5941d4565073ac4423acfe59e2139b3d4ae5144ee135fa8eff,30.06
598c03472e7a8089a50c5cf01bb63e48c05f1a79ee4898185c5f1ef294d8622a,77.66
30c3cfd79bdbd5af40c1c98fdb35f86d4063932bb980ab41105faeb500bb7a59,33.0
fd8111a7935742d5d198fb6ba2224bf1b772974b7c17e145837a4bc4512efe8a,71.93
e50725c0eeae06d5084a25d7cae981462f08ed57e7e604cb824844793a5c6dcc,83.44
54750e433d92006537b7a49eedc6002e0c97db298cb995f21f8746b7c79d43ce,40.5
a5a72f3838b3d70874ac4a07223544c0dcfa9e2358c85d6b628f44940c1e3e92,56.0
3a6fe01402333cdf3412fc08782a0ac13adeddf1953ee1df98fb770a0c2ca9ca,44.15
0971feccb4757660518949d4320c4ef50975fc055f4083ae75dc9a362f5d8a46,82.21
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,73.05
ec8e0696e80a8e8c45ebbecc3429597d81a3c106fd5939bc3ed685240ce84c8a,91.68
2cb5647803ac30eb527cd977610f7ed1140e4488daddf7cdef80e3fd08b506e1,55.71
4897b70947bf82f7a5a3e217001e6be4a9b8bd7cea9711ec56500afa9a02a515,76.41
a6a3c7cd213abce3011b8586afbd7b8153dd29aee2c2f52688ef8ef895eaabb0,59.05
40c1d250c97702986524dae1c4014dbac4abddab4fbfd395737f4e2fe64a247d,88.53
5ee88efb44a62c560639acbabf95fc60f46ad4f3f8aa6492729a4a5e0c610371,60.05
e8fcb5c680b6bdab983fc8705cf4149d4ffc71e7e1d375ab38582c81a8a222dd,48.0
5727fa1d0cb394af6963d460c256bc9fc3f351d90438650cb93aaedbad149274,90.66
92e41e237eb721c0e2a38a12e0317eb406b0b8a6b26a4fe8e109279caaac26be,80.03
4ed6385442789c13f187542a75c25ce22295ae4d5286d8bb321926accc327942,58.07
84ef557b626c0d70750b521cf708dec0bf4f19ee66c40f0518a21c80864cb99e,39.94
568755496a2b5ecc57c97f1ae8c52203ab643081ca1b008a1d43e66edfc75eea,82.19
87bc9471aaf330556f32e99fc91ca5c1d212e935de2fe03986332e62a7d3e179,36.25
a3151bceaa87cb266eee2e026bb2770086f0767dc10aefbcd31cf526bf21ce24,44.25
f4a36ebc5b628a049e769ccc2ae8e21a561ca689717f0b342b96c8ede09c0219,52.16
832777ca15af30deab6512acb75b148fee8b049caabf9491352ba930951bbc99,51.15
5952b6d60763e61ee8e276d8af7831dd8eef96984fecc19ca63005c0b71406b8,94.41
6d1c41cdb7671eefe3cb4edcba409e21b0b5a8196f6ff13cae446850bd0983a1,59.25
57c8de458e9794ddf8608ecaad5ef4caafb0bffa9309db4f1ffcba7d70494958,45.25
1f0e4c406443bc8a01467fd0f5b45a0aa4e95fded6b2c5d85ac532727bfd3c6d,61.06
3a1e59019ccaa8bc0f560a4042b1415d5fb7b0436c1f665d309b3f6cefea7d83,46.5
6441cd44226ffccd5cda9825c82156f6989c0ac691ecbcdbb06ba44c2c03e0e4,75.0
166572dff8d5aedada06bc75f068301e14a3c203b9fd850bf4606292acd135f5,86.84
21b2a371c603c1881c816d27fa28fb5d05088aa770b7fdc4d5a04492d93612c0,94.41
bd5b4475ad702f1f3a58eaa229a8fa29ec0b6285a8be138c21f57edb3024b86d,61.31
50e6842e7bfdeb000cb9754c8e940ff8d26e9c987b32fa9c765cd6f1c2a7df99,79.5
bea1e98706cb0c098679e0e5aa145a97f9fd3d7921ca9758fd3b2a3cda16923b,79.25
2464d583948e7369200abe0db2a33c62a383e9915104e6869b17f8f89244de0d,67.18
c55412dfec4229257b7e5b9f351aded8bf89457addeb8f6e6e349f74aee27674,84.91
cdd0ad20946b8bdd886db177aea59e7b1770a2881dd8cbbcdb7dc5adcf5730e1,95.25
f116832a0eb31d3cc89a5c4bba301d1a5758438ee1f1bd382fee9277a1fe6284,64.44
55201ba1af31bded5fa75c43d04b75046f3a91a7c88d19ffb0c4497b4815a716,47.19
7c5b34dcc4ab16388cb8f7076fd575a78bf0eafe318b053da6af72fd244b8c24,42.47
20300013d055d63c747accf06b9f7c94f8d736c3d5c89fe52b71857de90ecaaf,46.25
8ef8c191f2e6996e5aa2061354fa9581dea5b5ea7334ecf8d7018db50eecfacb,52.19
846245c30c8371ed901ad1856c2bf129e4824c6afec6a8aecfae1e7b49805594,58.25
c80057fddc67ce687c85a006cf65e59346bc5059721fa241b2473a84301c2327,36.16
b0638251b9699e7b5a85e9527482039e03615390eeb70d93e7de298bfb0b8135,51.94
138c4c9a5ae1f9ffc53e24e3083b2514b5d9aa6b12467d60b62c8929816e189f,82.51
5076c7de3c667c84d2ca7fd969f9df9fd327dc2f1857e3d60625555a2e5440df,86.25
79113765c9b7d68839422b6221d02fc97323ff61ac02e38fb1055b89962fb74a,56.69
510dd42fcb5e39a40bf7110252cf9606a3a53c97cff32e2b5df43d5f8ad373fc,47.42
351cff49ce968bd6bb542470c3004131a5042932b5f2cb0e7ea8492770b77485,48.0
04ed28ab2b2a010c686bf190a5f001dfdc7d9ec41859048d64d141b976f46d31,76.99
21f4a3d24142021f5ac9990df481128a358c88afbe0e65bed2714e0d8ba741b7,52.44
aef22050d9d0c9c04b31417e8d17415239847cd2b4f0b0010265a9a2261368eb,48.65
5a1106a954a34a68d7655fd3114f0f8854501159f28c4c43d52ee69d2561f852,55.44
f3d99c0db5449980ac699a2ef199f23eaff5c4808e5f5ec601922b62da939830,48.65
2092db8fa7b1c7c1facd32157dc0deaddf316e12f67d5f4eddfb2135663c8ed4,43.5
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,59.46
f13ef30924d9e20a8f54dc58ad638694be404a98000c388cadb97d41fd18b15e,80.0
