SubjectID,X-Grade
65be44ae7088566069cc3bef454174a7,0.36
f4db8537e9d75da46c4efc36a2d70956,0.431
e3edca0f6e68bfb76eaf26a8eb6dd94b,0.84
d843407a1a701630bb297c1148229eff,0.49
d0a17b281c3e4eaef6718d891e38cb42,0.34
9acf1b76f369030270de8f98f84d6707,0.5939
d29af1fd577b037033dd1149e816d521,0.92
89ea5cb67579289ce2b6a46c42e30424,0.7759999999999999
f892447540d0e840049183faa3109b1b,0.361
8425bc94a44e3d1bb3c8c026b2702c00,0.5760000000000001
717fb24cc33821afb4bcd529696cdfce,0.88
5364de2e6064f4d8a13c960b970b9f24,0.7111
9dbffba2a03b29811719318b20070b4a,0.7617
bfe6c14c945256de12a6add92c83b4d9,0.6688
2225c699a36afb253a69074cad850b00,0.7726999999999999
1aaa7438a59157a0f21ad30dda4d4088,0.5
a0cce36de7a1457b6802255fcec69081,0.5821000000000001
cd2018beeece5fb0a71a96308e567bde,0.4979
b36fd154dd0df788b77b7cfe39200ba3,0.8172
33edf41c0becd0d57c35c4e27276617b,0.7272
08fcb5ead4e963a6f0bbdbc971f4a3ee,0.81
3131a4cd22542b79134fe80f69f5b6ca,0.6412
8be57c24680317c02843631b253179d8,0.6364
c5f79d384b8024d5adddb872f9651f38,0.415
0aaf61723a352ba7ea1be4502df85765,0.6405
18d3284f148b6cb726b412b7059223ff,0.9
df438e5206f31600e6ae4af72f2725f1,0.6061
a70a600d7c593ca50cc6639cd64ed71a,0.76
4129304d04cff4cb688585ffd88c45fd,0.8
6412121cbb2dc2cb9e460cfee7046be2,0.7817000000000001
def130d0b67eb38b7a8f4e7121ed432c,0.85
7d3f2fed7faf3501554970cd3c0d724e,0.88
04c32d4d95425f73b3a1d6502aed4d48,0.706
fda6baab618b39821b678bd52ff26428,0.86
11d8ffa1c1cb79e22b6d94667d3847d9,0.4703
0503bf609757acf2e75aa8cbc0d8323b,0.7617
58426cf937eb05143f82b6d41e8968bd,0.58
7dd21654ce1c39ec7632d219e8e71f11,0.46
71ffa17407d66e134442eebb32d330ec,0.98
b083c8db8880429bba105c048a7ea1b6,0.3717
319e33a217f7368ff7ceef7731ccf024,0.8522
c876914f82ce54cb533b186afd41166e,0.3704
a4546d484e137a6c92e317daae0e7131,0.8567
9bc99c590be3511b8d53741684ef574c,0.6522
1d4db1fbfe9d6377c9226ff1e48b90ce,0.4757
d99fa3a9dd5df426e62b19597322920a,0.3677
65a99bb7a3115fdede20da98b08a370f,0.5951
787e8665307884350308429f4fc60451,0.7383
13dfe127c6d40641c7ad9fd60ef8701d,0.44
266c430a5f40c90947ba9db582a37f54,0.6711
70cf1f7eb14c9f52277f07e84a2775f3,0.7417
91109a77036a730296d6305a9794fa13,0.9
0a7ff96e4fa7c92a13ccab013d580930,0.34
eb6dc8aba23375061b6f07b137617096,0.3594
b9e255d57bdc3d30828bfd835b86749c,0.45
96fe1255e032940e2739e06072855b95,0.64
b0eec27361a2a03d4480b560df531df7,0.8006
eb6bdd281dfc2688a42174679b8e5bbd,0.88
2e0a791950a53842e60d83295368cdff,0.88
f2a58d530f82792e08c9ffb0e7f0ee1f,0.89
67baaa05759c5f8da208f540ff782a5f,0.9
2f0f2f6da6992b9ca06b907a9e803296,0.54
37b1fe960daba91fffadbdb5a3a9db15,0.6017
54d0ad877584296abb129e2e4f60ee67,0.6684
2caad38a4e3a8f3f61537412ef7aa439,0.5417000000000001
988d51eda1be1cd7bcd704d83b0391f9,0.83
a7ce4026f43a4491f1284bb38d96f440,0.24
0ee7e71061cf860ccf3b29c6823c7971,0.94
c5383525e91474a4e5d7dcfee92c054f,0.8332999999999999
b57532bada44706da665a55d2ce2011e,0.6964
1c7836dbabd12c458d20e3b35633733a,0.36
e8cb5f581442030021d62fd780fa674d,0.9
5dc624e80d9ab94e3229ec29f675c19d,0.4329
2d0122e6c17cdb89f8eed4d75b5f5eef,0.82
a64a1476544db9bd76a6d1f024a3a8c6,0.7240000000000001
a64a1476544db9bd76a6d1f024a3a8c6,0.7240000000000001
0e2cb039638d9ab503d33105ed343d7e,0.8
e5815151957be36ad2085b7a1a02c5cc,0.64
785cf0a5def4977e0210f07e0f925fa1,0.94
cbd7fb1bba4de3486f76147a75f3ec89,0.53
bcbf5e0ae48ef7e5439863381d1a69bf,0.82
07d34e2419c61216a85a2156b2cf8ae4,0.5817
60bba73587de9c81e7eb9a508ef928b7,0.71
63ea3fef646010a7255aec506626ea32,0.4
8db66f2fc805310b86589bd1aeaa2cd7,0.6414
c310d9645160ce5cc084d231d24d20e5,0.6429
8072f405471d085d0f9fec9e49f6790c,0.5817
d77314b5c23c087d9b5ed587e88800d2,0.9
44e55ed981c434536b85d307e6215b26,0.5893
4204dc3a11678c6b1d0be57cfe0a21b0,0.7
8497c3b1d034ce7aaf059804b5c88db6,0.82
5b3a93d103a66345e5d404c61c5b5081,0.32
7fa2c598be3498baead8d1d2c4485ab9,0.5
c5fe17b7a8d023ade2bbb05e574eef78,0.5489
14b094aef5d2df47fa9dd009b2d6ecb1,0.71
c5b86fa907b96e38e377ddfe82802cc6,0.6944
55f04ea8d0761b7aff9d21f23ebcbfef,0.6864
735dd629ab696e3a1bfcc0fe0d687bb1,0.54
58fe2003170159fd68519b7f9840fdb2,0.5531
9a4b930f7a36153ca68fdf211c8836a7,0.68
2f093e72fa038b855c80131ec3fba75c,0.88
76a271c64a315732aa56eeb7277a63d4,0.96
06d801cb636235b298c40029ad9921e7,0.88
a3d2924150c8fc0c437925e9bc080941,0.426
43a87a86ea9aee0255325e2865d6b503,0.67
8cb1f62625edb0977782ad3930d7d239,0.6028
5dae854cd11d11715c91b6ce80f46b7c,0.92
17737832ac17be5216f187a82c20936e,0.535
625d2d3101c23c47a46984741c232fed,0.4804
8cad09283d1d6c5fb08daec8a576a72d,0.31
7d95c1c55d84afc81845d9fb25c0cc0c,0.6144
a9db15913897019149a2807337f4a0f8,0.36
7f52d05b03fa31d9fff9b51349efeef4,0.7979999999999999
9313f5e96e48503b676b16e2e0d41455,0.6859999999999999
8621cdddd12002436862912970737eda,0.76
dc1913d422398c25c5f0b81cab94cc87,0.762
f827b5406c7aa5b4fe10062ae06a137b,0.92
6a59767ffedbb0c50130b5f43340d816,0.41
630d790d0716246ca1aa250a6f86f755,0.4
dbc50898cf582dfebd6d7adf4eaf9eb6,0.88
dff70232bcd2396f4a6c7bb57dab3e87,0.6661
793aaa24e931c05d077f434e33485574,0.82
5a834ec7e9dc45a5fae01dc7497e534f,0.8217
76379ed89eafe43c8f6bd64fd09e3852,0.84
79bb27cfac1ddee3267dcd929f6703ac,0.6144
16a4d8f9442ec82c5d390079cad8f194,0.6559999999999999
bfa20d86a59044ef90a4609dde03985c,0.6867
a3dfec8b6a89762b454f0b5e660c2e78,0.9
2e09811007f834b96935dc13e91fabbc,0.4067
e620a25ae37b9a8ba0362d5f02343161,0.7633
8ea9805479ddb07d9183081b059dd0d2,0.7617
66e8d052ec2230c66bd11ee6b5a0e3c8,0.7817000000000001
f65854da4622c1f1ad4ffeb361d7703c,0.84
f417d05af72b37f956c906aea42d1511,0.82
ef95afafde712120bb708d12b6217a9a,0.6583
a382db0a40615cdbe363ae0b4b2eb262,0.7817000000000001
547dcee2f9ccacd21cb7a6a758ca8697,0.8083
eebe038e47780c96e2762b5e2003cef7,0.92
c9bd2d5f2fb6cea41198dc6a2f817331,0.7468
54ecc28e9508fcf28363014b0d1b4eb8,0.74
636b1370d6dfae91f2042eef96c994b1,0.8842
2d66aed7a5328a988f77cbaec59fc047,0.8
a23f9327866d3bafd064964c9f0fcb6f,0.86
76d0863b5d13a9ed61f7df9149fb93d8,0.7304
75429d136f65d2d6168b9b6c5f6ec951,0.92
a45613e8740e38fe7d019d79fbf8712b,0.7733
b326a08bb69d28ec5947c8438f12dd66,0.748
ddeebdeefdb7e7e7a697e1c3e3d8ef54,0.52
ce6c92303f38d297e263c7180f03d402,0.4
946af3555203afdb63e571b873e419f6,0.5817
dbfce512dcdabc6b6e2724b6ec44efda,0.84
17e0ce48c87a8885fe8b82c21cb17ecf,0.5428999999999999
eeb358fcbf46e89566ad3fe0707820a0,0.6783
c77409b2f7dabc444a533b98d9381690,0.77
76fb6fb9cbea7011e49166d9d4ddbc48,0.88
4479d4f0fe2b922b8ab8875c429c0a72,0.72
790ed1befbc24b257db60ed066b6d3cb,0.4717
74249bfb363306265299ac4ec44d3cb6,0.81
279dc09a13b9dc662c574a804d650d95,0.8644
5a20abd7831fa1ebd199086e4a69a49a,0.9
a52fd55f42010405991a333187181f7e,0.6128
b5bd9ec2c8ff3cb0c9f606c1a59ec4b9,0.8717
e1f9b39289e1893622852cf8de6e14db,0.92
d169e16da608a6a8d61bc64a2d333e8a,0.7111
646e69d6e105d351e4e31a2e02a69b0e,0.611
51ef70624ca791283ec434a52da0d4e2,0.7429000000000001
f78a3fbff320d57c670af3fcdafebc7e,0.5535
2677c94cc946bd788a3828099d6bcd49,0.74
8171ac2c5544a5cb54ac0f38bf477af4,0.46
2e945b99f24f789d68d85ee332131c93,0.5932999999999999
115c51eb37365df2d4f4e2482b964822,0.66
93819e80e5e3693840fa1f2c327b51b5,0.71
c27181a18d3b30d14d66a1a56c068548,0.765
58c2ac6f92a1c369e00bcb3a28af2d18,0.5143
97cbc42bf29a147e4a2c287664032734,0.5544
73a2ef803debeee21de0e42f9c91aa6c,0.67
efb534de6f86b9996e556b05ddf72357,0.4514
24b7e056016caf9dd296647bf0d59905,0.38
907372450aa412b4647b9b8a64967f71,0.7
993e2921b4681af69dd9c0baeb9225e2,0.8332999999999999
a82ed528e2511d3232d2c92e274ffe31,0.94
7f041c0dc0bc74c00d04f562504d778a,0.7556
1aabb3fa1280144bf946da37d00c05f1,0.3
dcf531edc9b229acfe0f4b87e1e278dd,0.62
26ad18ebce74087e6885d52a53bd72ae,0.4016
5d5945691b9139b2876f663bba098c83,0.89
0bbeaf0242180c8abffb2b8dada5a9e4,0.77
376dc62eeb4b777df0f1e58a91a7818f,0.84
f683900ca17bd492ad987ecf64e8ace6,0.6570999999999999
81b1b300e54447e821ad2a2c690e296e,0.41
a8578be2fe9a67d039ee7b4f18697286,0.904
22cd4d66fc24fc0163ac00d27c1433c5,0.66
95a372b63ab8641f092e77acc9bf468c,0.8967
7e8dae845c0913d1bff36953378df627,0.5
6d0893ce02e4926539d6f7e0601c6161,0.82
1379719828be9ee6b08ca64edb818e2b,0.4553
c2e8b74defb073cd8cf4e942136ea164,0.45
9964364bfd2b38643a0b41b981c01f60,0.6644
183f50a7700982a3ed18ff6d7a5777bf,0.71
8c19f571e251e61cb8dd3612f26d5ecf,0.36
222d97000e1b90c1ed0f97e5cd9c203d,0.46
76c073d8a82d9ddaf993300be03ac70f,0.57
07ae4cca3f90a49347ccb5c1a82ff46f,0.84
0ae12dc3676bc09a35fe6ed96926a6b5,0.6944
ed58966527f3896422f854dc5d703513,0.67
5165bb7092845d883f5d8fd52d1f32b5,0.6
7c960f55df3daa0b92903925d683ae1b,0.34
da441fc259bec560a67460b17f4b657e,0.7137
effaa633fc27abdde0023af10ac9685e,0.435
9f3d342d38e036a9137ef3e270d9d79c,0.57
29a83a8a9641bb860a679d7e5ba52d26,0.7234999999999999
138a14eaf4a8c188a6c41cafd9400a30,0.79
b899ce5418c4ff13144e96c1af4d6306,0.86
3b0cc5f591dd5b8dacb0c8e01546b2b4,0.8689
e2a95f085fcfbe679d6915921ce6603f,0.8217
feae21bb32b7b4aa690fab151b60b598,0.59
2f27e0f4118efff145aeecd8367fbb37,0.5433
aa8cb12cf9bdaf4c309614e7a427b480,0.96
1cd45c346398d2ee6a71296e1fa88796,0.4
4346ad94c2790cac390e684155a2ecba,0.4844
8efe4ff08d6f51db0f7179fbef12f2f1,0.82
450ad5ed12c018f57a29c8f0ea7008ff,0.92
79bdf6773fe52c08470c97f7218ed3e9,0.5866
d8ec7fefbec9864f0453074a21fc2067,0.5811
24bdf19471ff9ff91a2aed47a747ca4e,0.8275
d37eb50d868361ea729bb4147eb3c1d8,0.5367000000000001
5ae81daa87d6649df09002741e5b1738,0.552
580274a213455c56684ab9f6e7a9995a,0.82
54eb551059f626c9e2682813fff354a8,0.5540999999999999
45e0e538b89751332e2055013fe7ac3e,0.7417
acb797b40a9632e6a031b31100b37630,0.76
34b99cc2f738d8a132faea2e0cc4c13b,0.56
6910a0f1eff035477ff9f52993ebf0b1,0.537
4d230b683bf9840553ae57f4acc96e81,0.92
631fe0c7519b232b0a0f6b965af015a9,0.92
def14e8541708294d7558fdf2126ef27,0.7917000000000001
27059a11c58ade9b03bde05c2ca7c285,0.435
9e6bc03970c47b5183cb2ee13799dcca,0.8033
59c3a5e4aab2b411b56805200085e4c2,0.47600000000000003
4de1ed74128a96a8b5900186486aacba,0.79
3c82c42719365742090eb207695a1055,0.79
e8dc153260a59d4f236cfd7439d5dfd3,0.8
4a914e5c38172ae9b61780ffbd0b2f90,0.8244
ffb72475a81de0e95b910ffad039f5c2,0.6817
40195594f1244e7ec627b1c6a5a35585,0.7029000000000001
e2d083a5fd066b082d93042169313e21,0.68
c8720c9e82b818798e7b391fd62adf33,0.92
